seq,book,c,net,mape,rmse
3000.0,1.6666666666666666E-4,5.0,1000.0,24.387982212160573,323048.86954569066
3000.0,1.6666666666666666E-4,5.0,1500.0,24.406423144396513,323049.8879185956
3000.0,1.6666666666666666E-4,5.0,2000.0,24.433386173336455,323051.2264096906
3000.0,1.6666666666666666E-4,5.0,2500.0,24.4638728568882,323052.88501499663
3000.0,1.6666666666666666E-4,5.0,3000.0,24.495156491350045,323054.8637295835
3000.0,1.6666666666666666E-4,5.0,3500.0,24.526876860503023,323057.16254756897
3000.0,1.6666666666666666E-4,5.0,4000.0,24.55897614291733,323059.7814621197
3000.0,1.6666666666666666E-4,5.0,4500.0,24.59134540611585,323062.7204654513
3000.0,1.6666666666666666E-4,5.0,5000.0,24.624158358231533,323065.9795488278
3000.0,1.6666666666666666E-4,5.0,5500.0,24.65745684597307,323069.5587025624
3000.0,1.6666666666666666E-4,5.0,6000.0,24.690857530247133,323073.45791601745
3000.0,1.6666666666666666E-4,5.0,6500.0,24.724263714102246,323077.67717760487
3000.0,1.6666666666666666E-4,5.0,7000.0,24.757833428592495,323082.2164747853
3000.0,1.6666666666666666E-4,5.0,7500.0,24.791445109015555,323087.0757940699
3000.0,1.6666666666666666E-4,5.0,8000.0,24.825287701965824,323092.25512101897
3000.0,1.6666666666666666E-4,5.0,8500.0,24.8591458709975,323097.7544402431
3000.0,1.6666666666666666E-4,5.0,9000.0,24.893004040029115,323103.5737354035
3000.0,1.6666666666666666E-4,5.0,9500.0,24.92688675677319,323109.7129892114
3000.0,1.6666666666666666E-4,5.0,10000.0,24.960847935044686,323116.17218342883
3000.0,1.6666666666666666E-4,6.0,0.0,23.637121338079115,319982.52210234315
3000.0,1.6666666666666666E-4,6.0,500.0,23.633412358535516,319980.3323302734
3000.0,1.6666666666666666E-4,6.0,1000.0,23.63510752543719,319978.4790816827
3000.0,1.6666666666666666E-4,6.0,1500.0,23.651231186421256,319976.9623624184
3000.0,1.6666666666666666E-4,6.0,2000.0,23.677340449708367,319975.78217726597
3000.0,1.6666666666666666E-4,6.0,2500.0,23.70713088726454,319974.93852994917
3000.0,1.6666666666666666E-4,6.0,3000.0,23.738403327903793,319974.43142312986
3000.0,1.6666666666666666E-4,6.0,3500.0,23.7702165186941,319974.26085840864
