seq,book,c,net,err
3000.0,1.6666666666666666E-4,7.0,10000.0,23.257693985097404
3000.0,1.6666666666666666E-4,8.0,0.0,22.241265045782285
3000.0,1.6666666666666666E-4,8.0,500.0,22.23486238485307
3000.0,1.6666666666666666E-4,8.0,1000.0,22.233988016598172
3000.0,1.6666666666666666E-4,8.0,1500.0,22.24725286792228
3000.0,1.6666666666666666E-4,8.0,2000.0,22.272760979833862
3000.0,1.6666666666666666E-4,8.0,2500.0,22.302270293396333
3000.0,1.6666666666666666E-4,8.0,3000.0,22.333104639220426
3000.0,1.6666666666666666E-4,8.0,3500.0,22.365300493390404
3000.0,1.6666666666666666E-4,8.0,4000.0,22.3982989215672
3000.0,1.6666666666666666E-4,8.0,4500.0,22.43166065854941
3000.0,1.6666666666666666E-4,8.0,5000.0,22.46524332117507
3000.0,1.6666666666666666E-4,8.0,5500.0,22.49913395405925
3000.0,1.6666666666666666E-4,8.0,6000.0,22.53356526378354
3000.0,1.6666666666666666E-4,8.0,6500.0,22.568358606906347
3000.0,1.6666666666666666E-4,8.0,7000.0,22.603369705403246
3000.0,1.6666666666666666E-4,8.0,7500.0,22.638416060034412
3000.0,1.6666666666666666E-4,8.0,8000.0,22.673647790629843
3000.0,1.6666666666666666E-4,8.0,8500.0,22.709050377269588
3000.0,1.6666666666666666E-4,8.0,9000.0,22.744566447338755
3000.0,1.6666666666666666E-4,8.0,9500.0,22.78023026087605
3000.0,1.6666666666666666E-4,8.0,10000.0,22.816072260033238
3000.0,1.6666666666666666E-4,9.0,0.0,21.620984290951334
3000.0,1.6666666666666666E-4,9.0,500.0,21.613930177720608
3000.0,1.6666666666666666E-4,9.0,1000.0,21.61224722781257
3000.0,1.6666666666666666E-4,9.0,1500.0,21.62449049865997
3000.0,1.6666666666666666E-4,9.0,2000.0,21.649706091286642
3000.0,1.6666666666666666E-4,9.0,2500.0,21.679506875737058
3000.0,1.6666666666666666E-4,9.0,3000.0,21.710362792623805
3000.0,1.6666666666666666E-4,9.0,3500.0,21.742702831249165
3000.0,1.6666666666666666E-4,9.0,4000.0,21.775942271699357
3000.0,1.6666666666666666E-4,9.0,4500.0,21.809491747668442
3000.0,1.6666666666666666E-4,9.0,5000.0,21.843500463137275
3000.0,1.6666666666666666E-4,9.0,5500.0,21.877804020334445
3000.0,1.6666666666666666E-4,9.0,6000.0,21.91250309009663
3000.0,1.6666666666666666E-4,9.0,6500.0,21.947732095927428
3000.0,1.6666666666666666E-4,9.0,7000.0,21.98324770066691
3000.0,1.6666666666666666E-4,9.0,7500.0,22.01881306414671
3000.0,1.6666666666666666E-4,9.0,8000.0,22.05446703695676
3000.0,1.6666666666666666E-4,9.0,8500.0,22.09028218712691
3000.0,1.6666666666666666E-4,9.0,9000.0,22.126282709148622
3000.0,1.6666666666666666E-4,9.0,9500.0,22.162332230722235
3000.0,1.6666666666666666E-4,9.0,10000.0,22.19864251606261
3000.0,1.6666666666666666E-4,10.0,0.0,21.48666157067019
3000.0,1.6666666666666666E-4,10.0,500.0,21.478825420090118
3000.0,1.6666666666666666E-4,10.0,1000.0,21.476089321840615
3000.0,1.6666666666666666E-4,10.0,1500.0,21.487379104137943
3000.0,1.6666666666666666E-4,10.0,2000.0,21.512051503240304
3000.0,1.6666666666666666E-4,10.0,2500.0,21.54154108086589
3000.0,1.6666666666666666E-4,10.0,3000.0,21.572366594900785
3000.0,1.6666666666666666E-4,10.0,3500.0,21.60446104852096
3000.0,1.6666666666666666E-4,10.0,4000.0,21.637665670749236
3000.0,1.6666666666666666E-4,10.0,4500.0,21.67138117205324
3000.0,1.6666666666666666E-4,10.0,5000.0,21.70528283789055
3000.0,1.6666666666666666E-4,10.0,5500.0,21.739490259510585
3000.0,1.6666666666666666E-4,10.0,6000.0,21.774273756871892
3000.0,1.6666666666666666E-4,10.0,6500.0,21.809439069172015
3000.0,1.6666666666666666E-4,10.0,7000.0,21.84511361843961
3000.0,1.6666666666666666E-4,10.0,7500.0,21.88088230821393
3000.0,1.6666666666666666E-4,10.0,8000.0,21.916658585717755
3000.0,1.6666666666666666E-4,10.0,8500.0,21.95258976049385
3000.0,1.6666666666666666E-4,10.0,9000.0,21.98872960119456
3000.0,1.6666666666666666E-4,10.0,9500.0,22.02490294254233
3000.0,1.6666666666666666E-4,10.0,10000.0,22.061259919247085
3000.0,1.1111111111111112E-4,1.0,0.0,45.81399314266511
3000.0,1.1111111111111112E-4,1.0,500.0,45.813483287031495
3000.0,1.1111111111111112E-4,1.0,1000.0,45.813387531219426
3000.0,1.1111111111111112E-4,1.0,1500.0,45.81851403884414
3000.0,1.1111111111111112E-4,1.0,2000.0,45.82922234102329
3000.0,1.1111111111111112E-4,1.0,2500.0,45.84233502367197
3000.0,1.1111111111111112E-4,1.0,3000.0,45.855447706320646
3000.0,1.1111111111111112E-4,1.0,3500.0,45.868560388969335
3000.0,1.1111111111111112E-4,1.0,4000.0,45.88167307161799
3000.0,1.1111111111111112E-4,1.0,4500.0,45.894785754266664
3000.0,1.1111111111111112E-4,1.0,5000.0,45.90789843691535
3000.0,1.1111111111111112E-4,1.0,5500.0,45.921011119564035
3000.0,1.1111111111111112E-4,1.0,6000.0,45.93412380221271
3000.0,1.1111111111111112E-4,1.0,6500.0,45.947236484861385
3000.0,1.1111111111111112E-4,1.0,7000.0,45.96034916751007
3000.0,1.1111111111111112E-4,1.0,7500.0,45.97346185015873
3000.0,1.1111111111111112E-4,1.0,8000.0,45.98657453280742
3000.0,1.1111111111111112E-4,1.0,8500.0,45.999687215456085
3000.0,1.1111111111111112E-4,1.0,9000.0,46.012799898104774
3000.0,1.1111111111111112E-4,1.0,9500.0,46.02591258075345
3000.0,1.1111111111111112E-4,1.0,10000.0,46.03902526340212
3000.0,1.1111111111111112E-4,2.0,0.0,27.609077668418003
3000.0,1.1111111111111112E-4,2.0,500.0,27.624696849331045
3000.0,1.1111111111111112E-4,2.0,1000.0,27.643928595742963
3000.0,1.1111111111111112E-4,2.0,1500.0,27.6683826055917
3000.0,1.1111111111111112E-4,2.0,2000.0,27.698418409994837
3000.0,1.1111111111111112E-4,2.0,2500.0,27.730858594867534
3000.0,1.1111111111111112E-4,2.0,3000.0,27.763298779740193
3000.0,1.1111111111111112E-4,2.0,3500.0,27.79573896461289
3000.0,1.1111111111111112E-4,2.0,4000.0,27.828179149485557
3000.0,1.1111111111111112E-4,2.0,4500.0,27.86061933435823
3000.0,1.1111111111111112E-4,2.0,5000.0,27.89305951923092
3000.0,1.1111111111111112E-4,2.0,5500.0,27.92549970410358
3000.0,1.1111111111111112E-4,2.0,6000.0,27.957939888976245
3000.0,1.1111111111111112E-4,2.0,6500.0,27.99038007384892
3000.0,1.1111111111111112E-4,2.0,7000.0,28.022820258721623
3000.0,1.1111111111111112E-4,2.0,7500.0,28.055260443594296
3000.0,1.1111111111111112E-4,2.0,8000.0,28.087700628466983
3000.0,1.1111111111111112E-4,2.0,8500.0,28.120140813339653
3000.0,1.1111111111111112E-4,2.0,9000.0,28.152580998212315
3000.0,1.1111111111111112E-4,2.0,9500.0,28.185021183085
3000.0,1.1111111111111112E-4,2.0,10000.0,28.217461367957682
3000.0,1.1111111111111112E-4,3.0,0.0,20.358096062564048
3000.0,1.1111111111111112E-4,3.0,500.0,20.36428278938004
3000.0,1.1111111111111112E-4,3.0,1000.0,20.37898472182898
3000.0,1.1111111111111112E-4,3.0,1500.0,20.406301646053606
3000.0,1.1111111111111112E-4,3.0,2000.0,20.440693440361706
3000.0,1.1111111111111112E-4,3.0,2500.0,20.47792113675674
3000.0,1.1111111111111112E-4,3.0,3000.0,20.5156478856928
3000.0,1.1111111111111112E-4,3.0,3500.0,20.55374635477388
3000.0,1.1111111111111112E-4,3.0,4000.0,20.592125453639127
3000.0,1.1111111111111112E-4,3.0,4500.0,20.630715548976774
3000.0,1.1111111111111112E-4,3.0,5000.0,20.669615520983072
3000.0,1.1111111111111112E-4,3.0,5500.0,20.70874523995347
3000.0,1.1111111111111112E-4,3.0,6000.0,20.747889121010537
3000.0,1.1111111111111112E-4,3.0,6500.0,20.787033002067602
3000.0,1.1111111111111112E-4,3.0,7000.0,20.826176883124674
3000.0,1.1111111111111112E-4,3.0,7500.0,20.86532076418173
3000.0,1.1111111111111112E-4,3.0,8000.0,20.90446464523881
3000.0,1.1111111111111112E-4,3.0,8500.0,20.943611716145327
3000.0,1.1111111111111112E-4,3.0,9000.0,20.98276118072784
3000.0,1.1111111111111112E-4,3.0,9500.0,21.02191064531034
3000.0,1.1111111111111112E-4,3.0,10000.0,21.06106927631825
3000.0,1.1111111111111112E-4,4.0,0.0,16.831051017645667
3000.0,1.1111111111111112E-4,4.0,500.0,16.82815260041188
3000.0,1.1111111111111112E-4,4.0,1000.0,16.832780560114568
3000.0,1.1111111111111112E-4,4.0,1500.0,16.85557167329398
3000.0,1.1111111111111112E-4,4.0,2000.0,16.88872021780521
3000.0,1.1111111111111112E-4,4.0,2500.0,16.926282891171567
3000.0,1.1111111111111112E-4,4.0,3000.0,16.965228534607444
3000.0,1.1111111111111112E-4,4.0,3500.0,17.004492449089387
3000.0,1.1111111111111112E-4,4.0,4000.0,17.044189268784564
3000.0,1.1111111111111112E-4,4.0,4500.0,17.08454218895943
3000.0,1.1111111111111112E-4,4.0,5000.0,17.125171025069747
3000.0,1.1111111111111112E-4,4.0,5500.0,17.166039132326556
3000.0,1.1111111111111112E-4,4.0,6000.0,17.207240094514706
3000.0,1.1111111111111112E-4,4.0,6500.0,17.248586677625667
3000.0,1.1111111111111112E-4,4.0,7000.0,17.290080830164282
3000.0,1.1111111111111112E-4,4.0,7500.0,17.331650556169087
3000.0,1.1111111111111112E-4,4.0,8000.0,17.37322028217393
3000.0,1.1111111111111112E-4,4.0,8500.0,17.414804932697795
3000.0,1.1111111111111112E-4,4.0,9000.0,17.456523612153926
3000.0,1.1111111111111112E-4,4.0,9500.0,17.49839937838793
3000.0,1.1111111111111112E-4,4.0,10000.0,17.54028325062741
3000.0,1.1111111111111112E-4,5.0,0.0,14.803977663712802
3000.0,1.1111111111111112E-4,5.0,500.0,14.79525971918146
3000.0,1.1111111111111112E-4,5.0,1000.0,14.79327213951681
3000.0,1.1111111111111112E-4,5.0,1500.0,14.810212417254972
3000.0,1.1111111111111112E-4,5.0,2000.0,14.842227656826543
3000.0,1.1111111111111112E-4,5.0,2500.0,14.878745343434721
3000.0,1.1111111111111112E-4,5.0,3000.0,14.917252233445026
3000.0,1.1111111111111112E-4,5.0,3500.0,14.956907003076186
3000.0,1.1111111111111112E-4,5.0,4000.0,14.997353941796263
3000.0,1.1111111111111112E-4,5.0,4500.0,15.03832042515808
3000.0,1.1111111111111112E-4,5.0,5000.0,15.079849130877841
3000.0,1.1111111111111112E-4,5.0,5500.0,15.12178917077935
3000.0,1.1111111111111112E-4,5.0,6000.0,15.164286750854215
3000.0,1.1111111111111112E-4,5.0,6500.0,15.206861248683081
3000.0,1.1111111111111112E-4,5.0,7000.0,15.249609823578316
3000.0,1.1111111111111112E-4,5.0,7500.0,15.292614064297576
3000.0,1.1111111111111112E-4,5.0,8000.0,15.335780749534718
3000.0,1.1111111111111112E-4,5.0,8500.0,15.379214168516677
3000.0,1.1111111111111112E-4,5.0,9000.0,15.422664085000394
3000.0,1.1111111111111112E-4,5.0,9500.0,15.466133151069684
3000.0,1.1111111111111112E-4,5.0,10000.0,15.509662535398558
3000.0,1.1111111111111112E-4,6.0,0.0,13.631881988650232
3000.0,1.1111111111111112E-4,6.0,500.0,13.619980333684248
